任务唯一标识,入口脚本名称,量子后端名称,迭代总次数,请求的每迭代采样次数,实际累积采样次数,实际量子位数,展开的量子位数,预估成本,运行环境标签,采样一致性判断,结果目录路径,开始时间(ISO 8601),结束时间(ISO 8601),执行时长(秒),运行状态,结果摘要,Python版本,系统信息(JSON),量子转译指标(JSON),算法收敛指标(JSON)
protein_folding_20260226_145036_5ca7c96d,run_sampler.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_145036_local_sampler,2026-02-26T14:50:36.533928,2026-02-26T14:50:43.517030,6.983102,success,min_energy=0.000000,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 11, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""measure"": 9, ""cx"": 8, ""barrier"": 1}}","{""iterations_total"": 10, ""best_energy"": 0.0, ""per_run"": [{""iterations"": 10, ""energy_start"": 0.0, ""energy_end"": 0.0, ""min_energy"": 0.0, ""avg_decrease_per_iter"": 0.0}]}"
protein_folding_20260226_150611_7e0a8713,run_opt_sampler.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_150611_local_sampler,2026-02-26T15:06:11.703891,2026-02-26T15:06:15.955752,4.251861,success,min_energy=5.144160,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 11, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""measure"": 9, ""cx"": 8, ""barrier"": 1}}","{""iterations_total"": 20, ""best_energy"": 5.144160000000116, ""per_run"": [{""iterations"": 10, ""energy_start"": 23.104240000000203, ""energy_end"": 5.144160000000116, ""min_energy"": 5.144160000000116, ""avg_decrease_per_iter"": 1.995564444444454}, {""iterations"": 10, ""energy_start"": -1.3959999999999582, ""energy_end"": -1.3959999999998445, ""min_energy"": -1.3959999999999582, ""avg_decrease_per_iter"": -1.2631870857957336e-14}]}"
protein_folding_20260226_150709_cb0fccbd,run_estimator.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_150709_local_estimator,2026-02-26T15:07:09.192131,2026-02-26T15:07:11.814272,2.622141,success,min_energy=948.773714,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 10, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""cx"": 8}}","{""iterations_total"": 10, ""best_run_index"": 1, ""best_energy"": 948.7737139876739, ""energy_end_best_run"": 948.7737139876739, ""per_run"": [{""iterations"": 10, ""energy_start"": 1568.6808274091482, ""energy_end"": 948.7737139876739, ""min_energy"": 948.7737139876739, ""avg_decrease_per_iter"": 68.87856815794159}]}"
protein_folding_20260226_150728_d7aa5ee5,run_estimator.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_150729_local_estimator,2026-02-26T15:07:28.944553,2026-02-26T15:07:31.401023,2.45647,success,min_energy=948.773714,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 10, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""cx"": 8}}","{""iterations_total"": 10, ""best_run_index"": 1, ""best_energy"": 948.7737139876739, ""energy_end_best_run"": 948.7737139876739, ""per_run"": [{""iterations"": 10, ""energy_start"": 1568.6808274091482, ""energy_end"": 948.7737139876739, ""min_energy"": 948.7737139876739, ""avg_decrease_per_iter"": 68.87856815794159}]}"
protein_folding_20260226_150738_ee0a6e26,run_opt.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_150738_local_estimator,2026-02-26T15:07:38.800753,2026-02-26T15:07:40.042925,1.242172,success,min_energy=891.275660,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 10, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""cx"": 8}}","{""iterations_total"": 10, ""best_run_index"": 1, ""best_energy"": 891.2756600000002, ""energy_end_best_run"": 891.2756600000002, ""per_run"": [{""iterations"": 10, ""energy_start"": 1486.0307199999997, ""energy_end"": 891.2756600000002, ""min_energy"": 891.2756600000002, ""avg_decrease_per_iter"": 66.0838955555555}]}"
protein_folding_20260226_152350_a9c89204,run_opt.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_152350_local_estimator,2026-02-26T15:23:50.591250,2026-02-26T15:23:51.946725,1.355475,success,min_energy=1124.804780,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 10, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""cx"": 8}}","{""iterations_total"": 10, ""best_run_index"": 1, ""best_energy"": 1124.8047800000008, ""energy_end_best_run"": 1124.8047800000008, ""per_run"": [{""iterations"": 10, ""energy_start"": 1636.1893800000003, ""energy_end"": 1124.8047800000008, ""min_energy"": 1124.8047800000008, ""avg_decrease_per_iter"": 56.820511111111045}]}"
protein_folding_20260226_152422_915a332a,run_estimator.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_152423_local_estimator,2026-02-26T15:24:22.740528,2026-02-26T15:24:25.187984,2.447456,success,min_energy=948.773714,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 10, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""cx"": 8}}","{""iterations_total"": 10, ""best_run_index"": 1, ""best_energy"": 948.7737139876739, ""energy_end_best_run"": 948.7737139876739, ""per_run"": [{""iterations"": 10, ""energy_start"": 1568.6808274091482, ""energy_end"": 948.7737139876739, ""min_energy"": 948.7737139876739, ""avg_decrease_per_iter"": 68.87856815794159}]}"
protein_folding_20260226_152509_0ff6f2b6,run_sampler.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_152509_local_sampler,2026-02-26T15:25:09.450067,2026-02-26T15:25:16.630028,7.179961,success,min_energy=0.000000,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 11, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""measure"": 9, ""cx"": 8, ""barrier"": 1}}","{""iterations_total"": 10, ""best_energy"": 0.0, ""per_run"": [{""iterations"": 10, ""energy_start"": 0.0, ""energy_end"": 0.0, ""min_energy"": 0.0, ""avg_decrease_per_iter"": 0.0}]}"
protein_folding_20260226_161248_8b845c9f,run_opt.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_161248_local_estimator,2026-02-26T16:12:48.570824,2026-02-26T16:12:49.959622,1.388798,success,min_energy=962.777440,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 10, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""cx"": 8}}","{""iterations_total"": 10, ""best_run_index"": 1, ""best_energy"": 962.7774400000004, ""energy_end_best_run"": 962.7774400000004, ""per_run"": [{""iterations"": 10, ""energy_start"": 1439.0728099999997, ""energy_end"": 962.7774400000004, ""min_energy"": 962.7774400000004, ""avg_decrease_per_iter"": 52.9217077777777}]}"
protein_folding_20260226_161815_26c448a8,run_opt_sampler.py,local,10,100,1000,9,168,0.0,local,True,results\20260226_161815_local_sampler,2026-02-26T16:18:15.906495,2026-02-26T16:18:17.609498,1.703003,success,min_energy=7.200000,3.12.12,"{""platform"": ""Windows-10-10.0.19044-SP0"", ""platform_release"": ""10"", ""architecture"": ""64bit"", ""machine"": ""AMD64"", ""processor"": ""Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"", ""working_directory"": ""D:\\code\\quantum""}","{""logical_qubits"": 9, ""physical_qubits"": 9, ""depth"": 11, ""two_qubit_gates"": 8, ""ops"": {""ry"": 18, ""measure"": 9, ""cx"": 8, ""barrier"": 1}}","{""iterations_total"": 20, ""best_energy"": 7.200000000000114, ""per_run"": [{""iterations"": 10, ""energy_start"": 11.776640000000148, ""energy_end"": 7.200000000000114, ""min_energy"": 7.200000000000114, ""avg_decrease_per_iter"": 0.5085155555555594}, {""iterations"": 10, ""energy_start"": 1.1368683772161603e-13, ""energy_end"": 1.1368683772161603e-13, ""min_energy"": -1.4249999999996135, ""avg_decrease_per_iter"": 0.0}]}"
